match,start_time,market_name,home_team,home_line,home_price,away_team,away_line,away_price,margin,agency
New York Mets v Washington Nationals,2024-07-10 08:40:00,Line,New York Mets,-2.5,3.4,Washington Nationals,2.5,1.32,1.052,TAB
St. Louis Cardinals v Kansas City Royals,2024-07-10 09:15:00,Line,St. Louis Cardinals,1.5,1.5,Kansas City Royals,-1.5,2.6,1.051,TAB
St. Louis Cardinals v Kansas City Royals,2024-07-10 09:15:00,Line,St. Louis Cardinals,2.5,1.32,Kansas City Royals,-2.5,3.4,1.052,TAB
St. Louis Cardinals v Kansas City Royals,2024-07-10 09:15:00,Line,St. Louis Cardinals,-1.5,2.7,Kansas City Royals,1.5,1.48,1.046,TAB
Chicago White Sox v Minnesota Twins,2024-07-10 09:40:00,Line,Chicago White Sox,1.5,1.8,Minnesota Twins,-1.5,2,1.056,TAB
Chicago White Sox v Minnesota Twins,2024-07-10 09:40:00,Line,Chicago White Sox,2.5,1.5,Minnesota Twins,-2.5,2.6,1.051,TAB
Chicago White Sox v Minnesota Twins,2024-07-10 09:40:00,Line,Chicago White Sox,-1.5,3.5,Minnesota Twins,1.5,1.3,1.055,TAB
Houston Astros v Miami Marlins,2024-07-10 09:40:00,Line,Houston Astros,1.5,1.25,Miami Marlins,-1.5,4,1.05,TAB
Houston Astros v Miami Marlins,2024-07-10 09:40:00,Line,Houston Astros,-1.5,1.92,Miami Marlins,1.5,1.9,1.047,TAB
Houston Astros v Miami Marlins,2024-07-10 09:40:00,Line,Houston Astros,-2.5,2.5,Miami Marlins,2.5,1.55,1.045,TAB
Milwaukee Brewers v Pittsburgh Pirates,2024-07-10 09:40:00,Line,Milwaukee Brewers,1.5,1.38,Pittsburgh Pirates,-1.5,3.1,1.047,TAB
Milwaukee Brewers v Pittsburgh Pirates,2024-07-10 09:40:00,Line,Milwaukee Brewers,-1.5,2.25,Pittsburgh Pirates,1.5,1.65,1.051,TAB
Milwaukee Brewers v Pittsburgh Pirates,2024-07-10 09:40:00,Line,Milwaukee Brewers,-2.5,3,Pittsburgh Pirates,2.5,1.4,1.048,TAB
Los Angeles Angels v Texas Rangers,2024-07-10 11:08:00,Line,Los Angeles Angels,1.5,1.9,Texas Rangers,-1.5,1.92,1.047,TAB
Los Angeles Angels v Texas Rangers,2024-07-10 11:08:00,Line,Los Angeles Angels,2.5,1.58,Texas Rangers,-2.5,2.4,1.05,TAB
Los Angeles Angels v Texas Rangers,2024-07-10 11:08:00,Line,Los Angeles Angels,-1.5,3.6,Texas Rangers,1.5,1.3,1.047,TAB
Arizona Diamondbacks v Atlanta Braves,2024-07-10 11:10:00,Line,Arizona Diamondbacks,1.5,1.58,Atlanta Braves,-1.5,2.4,1.05,TAB
Arizona Diamondbacks v Atlanta Braves,2024-07-10 11:10:00,Line,Arizona Diamondbacks,2.5,1.35,Atlanta Braves,-2.5,3.3,1.044,TAB
Arizona Diamondbacks v Atlanta Braves,2024-07-10 11:10:00,Line,Arizona Diamondbacks,-1.5,2.9,Atlanta Braves,1.5,1.42,1.049,TAB
San Diego Padres v Seattle Mariners,2024-07-10 11:10:00,Line,San Diego Padres,1.5,1.68,Seattle Mariners,-1.5,2.2,1.05,TAB
San Diego Padres v Seattle Mariners,2024-07-10 11:10:00,Line,San Diego Padres,2.5,1.42,Seattle Mariners,-2.5,2.9,1.049,TAB
San Diego Padres v Seattle Mariners,2024-07-10 11:10:00,Line,San Diego Padres,-1.5,3.2,Seattle Mariners,1.5,1.35,1.053,TAB
San Francisco Giants v Toronto Blue Jays,2024-07-10 11:15:00,Line,San Francisco Giants,1.5,1.45,Toronto Blue Jays,-1.5,2.8,1.047,TAB
San Francisco Giants v Toronto Blue Jays,2024-07-10 11:15:00,Line,San Francisco Giants,-1.5,2.5,Toronto Blue Jays,1.5,1.55,1.045,TAB
San Francisco Giants v Toronto Blue Jays,2024-07-10 11:15:00,Line,San Francisco Giants,-2.5,3.5,Toronto Blue Jays,2.5,1.3,1.055,TAB
